"nome_munic";"codigo_ibge";"dia";"mes";"datahora";"casos";"casos_novos";"casos_pc";"casos_mm7d";"obitos";"obitos_novos";"obitos_pc";"obitos_mm7d";"letalidade";"nome_ra";"cod_ra";"nome_drs";"cod_drs";"pop";"pop_60";"area";"map_leg";"map_leg_s";"latitude";"longitude";"semana_epidem"
"São Paulo";3550308;25;2;2020-02-25;1;0;0,00842484114962012;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;9
"São Paulo";3550308;26;2;2020-02-26;1;0;0,00842484114962012;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;9
"São Paulo";3550308;27;2;2020-02-27;1;0;0,00842484114962012;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;9
"São Paulo";3550308;28;2;2020-02-28;2;1;0,0168496822992402;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;9
"São Paulo";3550308;29;2;2020-02-29;2;0;0,0168496822992402;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;9
"São Paulo";3550308;1;3;2020-03-01;2;0;0,0168496822992402;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"São Paulo";3550308;2;3;2020-03-02;2;0;0,0168496822992402;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"São Paulo";3550308;3;3;2020-03-03;2;0;0,0168496822992402;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"São Paulo";3550308;4;3;2020-03-04;3;1;0,0252745234488604;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"São Paulo";3550308;5;3;2020-03-05;6;3;0,0505490468977207;0,714285714285714;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"São Paulo";3550308;6;3;2020-03-06;6;0;0,0505490468977207;0,571428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<10";"7";-23,5329;-46,6395;10
"Santana de Parnaíba";3547304;7;3;2020-03-07;1;1;0,723945211826369;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;10
"São Paulo";3550308;7;3;2020-03-07;12;6;0,101098093795441;1,42857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<25";"6";-23,5329;-46,6395;10
"Santana de Parnaíba";3547304;8;3;2020-03-08;1;0;0,723945211826369;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;11
"São Paulo";3550308;8;3;2020-03-08;15;3;0,126372617244302;1,85714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<25";"6";-23,5329;-46,6395;11
